Category,Name,Phone,Google Maps URL,Website,email,Business Status,Address,Total Reviews,Booking Links,Rating,Hours
,The Rockaway Hotel,+1 718-474-1216,https://www.google.com/maps/place/The+Rockaway+Hotel/data=!4m10!3m9!1s0x89c269aee70f34d3:0xfceef151bd525348!5m2!4m1!1i2!8m2!3d40.5815002!4d-73.8300876!16s%2Fg%2F11j4tv273x!19sChIJ0zQP565pwokRSFNSvVHx7vw?authuser=0&hl=en&rclk=1,https://www.therockawayhotel.com/,"hello@therockawayhotel.com, forms@tambourine.com",,"108-10 Rockaway Beach Dr, Queens, NY 11694, United States","(1,097)",,4.5,
,Aman New York,+1 212-970-2626,https://www.google.com/maps/place/Aman+New+York/data=!4m10!3m9!1s0x89c259d50b96eb33:0x1814c7086ffb6f32!5m2!4m1!1i2!8m2!3d40.7629802!4d-73.9746883!16s%2Fg%2F11f62dpxyl!19sChIJM-uWC9VZwokRMm_7bwjHFBg?authuser=0&hl=en&rclk=1,https://www.aman.com/hotels/aman-new-york?utm_source=Google&utm_medium=Yext&y_source=1_MTU5MjMxNjgtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,reservations.ny@aman.com,,"730 5th Ave, New York, NY 10019, United States",(282),,4.4,
,"Mandarin Oriental, New York",+1 212-805-8800,"https://www.google.com/maps/place/Mandarin+Oriental,+New+York/data=!4m10!3m9!1s0x89c258f61de5cd2f:0x510fcbc303f0de9d!5m2!4m1!1i2!8m2!3d40.7689873!4d-73.9830172!16s%2Fm%2F080mxl8!19sChIJL83lHfZYwokRnd7wA8PLD1E?authuser=0&hl=en&rclk=1",https://www.mandarinoriental.com/en/new-york/manhattan?src=loc.yext.monyc.ggl,"mocmo-reservations@mohg.com, mocna-info@mohg.com, mojkt-reservations@mohg.com, mobod-reservations@mohg.com, lmhkg-reservations@mohg.com, mrmad-reservations@mohg.com, moist-reservations@mohg.com, mobcn-reservations@mohg.com, modub-reservations@mohg.com, u003Emolon-reservations@mohg.com, moven-info@mohg.com, mozrh-reservations@mohg.com, momrk-reservations@mohg.com, molon-info@mohg.com, mostg-reservations@mohg.com, mokul-reservations@mohg.com, mobkk-reservations@mohg.com, moauh-reservations@mohg.com, moryd-reservations@mohg.com, monyc-reservations@mohg.com, modtd-info@mohg.com, mobos-reservations@mohg.com, mohkg-reservations@mohg.com, u003Emodoh-reservations@mohg.com, momay-info@mohg.com, mogva-reservations@mohg.com, modoh-reservations@mohg.com, moprg-reservations@mohg.com, mosan-reservations@mohg.com, momay-reservations@mohg.com, momct-reservations@mohg.com, motpe-sales@mohg.com, motpe-reservations@mohg.com, u003Emomuc-reservations@mohg.com, dataprivacyofficer@mohg.com, mosin@mohg.com, mopud-reservations@mohg.com, mopar-reservations@mohg.com, molon-reservations@mohg.com, molzn-info@mohg.com, momln-reservations@mohg.com, motyo-reservations@mohg.com, u003Edataprivacyofficer@mohg.com, momuc-reservations@mohg.com, u003Emomay-reservations@mohg.com, u003Emozrh-reservations@mohg.com, moszn-reservations@mohg.com, movie-info@mohg.com, mowfj-reservations@mohg.com, momac-reservations@mohg.com, mogzh-reservations@mohg.com, mocan-reservations@mohg.com, moqnm-reservations@mohg.com, u003Emocan-reservations@mohg.com, contact@conservatoriumhotel.com",,"80 Columbus Cir, New York, NY 10023, United States","(1,621)",,4.6,
,The Manhattan at Times Square Hotel,+1 212-581-3300,https://www.ihg.com/spnd/hotels/us/en/new-york/nycat/hoteldetail,https://www.ihg.com/spnd/hotels/us/en/new-york/nycat/hoteldetail,"julia.boyd@ihg.com, stacy.campbell@ihg.com, reservations@mtshotel.com, debra.wang@ihg.com, agne.blyth@ihg.com, ches.eaton@ihg.com, whitney.engelke@ihg.com, christine.lee@ihg.com",,"790 7th Ave, New York, NY 10019, United States","(9,351)",,3.1,
,Four Seasons Hotel New York,+1 212-758-5700,"https://www.google.com/maps/place/Four+Seasons+Hotel+New+York/@40.7622953,-73.9713402,17z/data=!3m1!4b1!4m9!3m8!1s0x89c258fab577c2eb:0x18e30117a09176d8!5m2!4m1!1i2!8m2!3d40.7622953!4d-73.9713402!16zL20vMGdic3B6?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDYxNy4wIKXMDSoASAFQAw%3D%3D",https://www.fourseasons.com/newyork/?utm_source=google&utm_medium=organicsearch&utm_campaign=tor-nyf-hre-mid-seo-na&utm_content=na-na&utm_term=na,,,"57 E 57th St, New York, NY 10022, United States","(1,126)",,4.6,
,Four Seasons Hotel New York Downtown,+1 646-880-1999,"https://www.google.com/maps/place/Four+Seasons+Hotel+New+York+Downtown/@40.7126317,-74.0091904,17z/data=!3m1!4b1!4m9!3m8!1s0x89c25a18e3553f8b:0x1337dae5edaabaa2!5m2!4m1!1i2!8m2!3d40.7126317!4d-74.0091904!16s%2Fg%2F11byx8rkcl?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDYxNy4wIKXMDSoASAFQAw%3D%3D",https://www.fourseasons.com/newyorkdowntown/?utm_source=google&utm_medium=organicsearch&utm_campaign=tor-nyd-hre-mid-seo-na&utm_content=na-na&utm_term=na,,,"27 Barclay St, New York, NY 10007, United States","(1,247)",,4.7,
,Belvedere Hotel,+1 212-245-7000,https://www.belvederehotelnyc.com/?utm_source=google&utm_medium=Local+SEO&utm_campaign=Google+Business+Profile/Contact/,https://www.belvederehotelnyc.com/?utm_source=google&utm_medium=Local+SEO&utm_campaign=Google+Business+Profile,,,"319 W 48th St, New York, NY 10036, United States","(3,390)",,4.0,
,The Chatwal - The Unbound Collection by Hyatt,+1 212-764-6200,https://www.hyatt.com/unbound-collection/en-US/nycuc-the-chatwal?src=corp_lclb_google_seo_nycuc&utm_source=google&utm_medium=organic&utm_campaign=lmr/Contact/,https://www.hyatt.com/unbound-collection/en-US/nycuc-the-chatwal?src=corp_lclb_google_seo_nycuc&utm_source=google&utm_medium=organic&utm_campaign=lmr,,,"130 W 44th St, New York, NY 10036, United States",(375),,4.6,
,The Manner,+1 929-526-3330,https://www.hyatt.com/unbound-collection/en-US/lgapr-the-manner?src=corp_lclb_google_seo_lgapr&utm_source=google&utm_medium=organic&utm_campaign=lmr/Contact/,https://www.hyatt.com/unbound-collection/en-US/lgapr-the-manner?src=corp_lclb_google_seo_lgapr&utm_source=google&utm_medium=organic&utm_campaign=lmr,,,"58 Thompson St, New York, NY 10012, United States",(131),,4.8,
,PUBLIC Hotel,+1 212-735-6000,https://www.google.com/maps/place/PUBLIC+Hotel/data=!4m10!3m9!1s0x89c25984338e8f61:0x9c45c71d0bc40ebc!5m2!4m1!1i2!8m2!3d40.7231104!4d-73.9920935!16s%2Fg%2F11c2przwt8!19sChIJYY-OM4RZwokRvA7ECx3HRZw?authuser=0&hl=en&rclk=1,https://www.publichotels.com/?utm_source=local-directories&utm_medium=organic&utm_campaign=travelclick-localconnect,"RESERVATIONSNY@PUBLICHOTELS.COM, reservationsny@publichotels.com",,"215 Chrystie St, New York, NY 10002, United States","(3,303)",,4.1,
