Category,Name,Phone,Google Maps URL,Website,email,Business Status,Address,Total Reviews,Booking Links,Rating,Hours
,Cove Haven Resort,+1 800-987-2050,https://www.covepoconoresorts.com/?__trackcampaign=f72dg0cz&utm_source=google%20business&utm_medium=link&utm_campaign=cpr%20link/Contact/,https://www.covepoconoresorts.com/?__trackcampaign=f72dg0cz&utm_source=google%20business&utm_medium=link&utm_campaign=cpr%20link,,,"194 Lakeview Dr, Lakeville, PA 18438, United States","(5,420)",,3.8,
,Nemacolin,+1 866-344-6957,https://www.nemacolin.com/Contact/,http://www.nemacolin.com/,,,"1001 Lafayette Dr, Farmington, PA 15437, United States","(2,753)",,4.6,
,Omni Bedford Springs Resort & Spa,+1 814-623-8100,https://www.omnihotels.com/hotels/bedford-springs?utm_source=gmblisting&utm_medium=organic,https://www.omnihotels.com/hotels/bedford-springs?utm_source=gmblisting&utm_medium=organic,bedfordshuttlebypal@gmail.com,,"2198 Sweet Root Rd, Bedford, PA 15522, United States","(3,051)",,4.6,
,Eden Resort & Suites,+1 717-569-6444,https://www.google.com/maps/place/Eden+Resort+%26+Suites/data=!4m10!3m9!1s0x89c62345d15c3499:0x2052ca1f95385113!5m2!4m1!1i2!8m2!3d40.0688171!4d-76.2992095!16s%2Fg%2F1tfb2yrq!19sChIJmTRc0UUjxokRE1E4lR_KUiA?authuser=0&hl=en&rclk=1,https://www.edenresort.com/,"reservations@edenresort.com, eden@edenresort.com",,"222 Eden Rd, Lancaster, PA 17601, United States","(6,165)",,4.5,
,The Woodlands Inn and Resort,+1 570-824-9831,https://www.google.com/maps/place/The+Woodlands+Inn+and+Resort/data=!4m10!3m9!1s0x89c51b9476a95d6f:0xc7a08af6156f67de!5m2!4m1!1i2!8m2!3d41.254509!4d-75.824537!16s%2Fg%2F1tdyb024!19sChIJb12pdpQbxYkR3mdvFfaKoMc?authuser=0&hl=en&rclk=1,http://stayinthewoods.com/,Front.desk@thewoodlandsresort.com,,"1073 PA-315, Wilkes-Barre, PA 18702, United States","(2,556)",,4.2,
,Chateau Resort & Conference Center,+1 570-629-5900,https://www.chateauresort.com//Contact/,http://www.chateauresort.com/,,,"475 Camelback Rd, Tannersville, PA 18372, United States","(1,319)",,3.2,
,Historic Summit Inn Resort,+1 724-438-8594,https://www.google.com/maps/place/Historic+Summit+Inn+Resort/data=!4m10!3m9!1s0x88353f56f30a79df:0x9ebcfed637b1a711!5m2!4m1!1i2!8m2!3d39.8492703!4d-79.6574449!16s%2Fg%2F1tlvq5md!19sChIJ33kK81Y_NYgREaexN9b-vJ4?authuser=0&hl=en&rclk=1,http://www.summitinnresort.com/,"info@summitinnresort.com, events@summitinnresort.com",,"101 Skyline Dr, Farmington, PA 15437, United States","(1,055)",,4.5,
,Bear Creek Mountain Resort,+1 866-754-2822,https://www.bcmountainresort.com/?utm_source=google-gbp&utm_medium=organic&utm_campaign=gbp%2FContact%2F,https://www.bcmountainresort.com/?utm_source=google-gbp&utm_medium=organic&utm_campaign=gbp,,,"101 Doe Mountain Ln, Macungie, PA 18062, United States","(3,717)",,4.5,
,Bear Mountain Lodge,+1 570-724-2428,https://bearlodgeswellsboro.com/contact2/,http://www.bearmountainbb.com/,,,"8010 US-6, Wellsboro, PA 16901, United States",(114),,4.9,
,Pocono Mountains Hotel and Spa,+1 570-468-3852,https://www.google.com/maps/place/Pocono+Mountains+Hotel+and+Spa/data=!4m10!3m9!1s0x89c4e943eb8f9ad7:0x7a61a9581201d67a!5m2!4m1!1i2!8m2!3d41.2470799!4d-75.4491752!16s%2Fg%2F11qg8bzxpc!19sChIJ15qP60PpxIkRetYBElipYXo?authuser=0&hl=en&rclk=1,http://poconomountainshotelandspa.com/,booking@poconomountainshotelandspa.com,,"38 Lehigh road Gouldsboro_PA, 18424, Gouldsboro, PA 18424, United States",(68),,3.2,
,Magnolia Streamside Resort| Family Pocono Resort | Couples Resort Poconos | Wedding & Event Venue,+1 570-595-2489,https://www.google.com/maps/place/Magnolia+Streamside+Resort%7C+Family+Pocono+Resort+%7C+Couples+Resort+Poconos+%7C+Wedding+%26+Event+Venue/data=!4m10!3m9!1s0x89c496bb6a240141:0xfcc86b688515e2ca!5m2!4m1!1i2!8m2!3d41.1987899!4d-75.246175!16s%2Fg%2F1260jdggw!19sChIJQQEkaruWxIkRyuIVhWhryPw?authuser=0&hl=en&rclk=1,https://magnoliastreamside.com/,"info@magnoliastreamside.com, info@MagnoliaStreamSide.com",,"2518 PA-390 N, Canadensis, PA 18325, United States",(597),,4.7,
,Buhl Mansion Guesthouse & Spa,+1 724-346-3046,https://buhlmansion.com/?utm_source=google&utm_medium=GMB%2FContact%2F,https://buhlmansion.com/?utm_source=google&utm_medium=GMB,,,"422 E State St, Sharon, PA 16146, United States",(266),,4.7,
,Heritage Hills Golf Resort,+1 717-755-0123,https://heritagehillsresort.com/contact/,http://www.heritagehillsresort.com/,"fdesk@heritagehillsresort.com, sales@hhgr.com",,"2700 Mt Rose Ave, York, PA 17402, United States",(500),,4.1,
,The Shawnee Inn and Golf Resort,+1 570-424-4000,https://www.shawneeinn.com/?utm_source=google&utm_medium=organic&utm_campaign=business_listing/Contact/,https://www.shawneeinn.com/?utm_source=google&utm_medium=organic&utm_campaign=business_listing,,,"100 Shawnee Inn Dr, Shawnee on Delaware, PA 18356, United States","(1,329)",,4.0,
